
459,"Brasseries ","Restaurants",16
460,"Brazilian ","Restaurants",16
461,"Breakfast & Brunch ","Restaurants",16
462,"British ","Restaurants",16
463,"Buffets ","Restaurants",16
464,"Burgers ","Restaurants",16
465,"Burmese ","Restaurants",16
466,"Café","Restaurants",16
467,"Cafeteria","Restaurants",16
468,"Cajun ","Restaurants",16
469,"Cambodian ","Restaurants",16
470,"Caribbean ","Restaurants",16
471,"Cheese steaks ","Restaurants",16
472,"Chicken Wings ","Restaurants",16
473,"Chinese ","Restaurants",16
474,"Coffee House","Restaurants",16
475,"Continental","Restaurants",16
476,"Creole","Restaurants",16
477,"Creperies ","Restaurants",16
478,"Cuban ","Restaurants",16
479,"Cyber Café","Restaurants",16
480,"Delis ","Restaurants",16
481,"Dessert","Restaurants",16
482,"Dim Sum","Restaurants",16
483,"Diners ","Restaurants",16
484,"English","Restaurants",16
485,"Ethiopian ","Restaurants",16
486,"Family","Restaurants",16
487,"Fast Food ","Restaurants",16
488,"Filipino ","Restaurants",16
489,"Fine Dining","Restaurants",16
490,"Fish & Chips ","Restaurants",16
491,"Fondue ","Restaurants",16
492,"Food Stands ","Restaurants",16
493,"French ","Restaurants",16
494,"Gastropubs ","Restaurants",16
495,"German ","Restaurants",16
496,"Gluten-Free ","Restaurants",16
497,"Greek ","Restaurants",16
498,"Halal ","Restaurants",16
499,"Hawaiian ","Restaurants",16
500,"Himalayan","Restaurants",16
501,"Hot Dogs ","Restaurants",16
502,"Hungarian ","Restaurants",16
503,"Indian ","Restaurants",16
504,"Indonesian ","Restaurants",16
505,"Iranian","Restaurants",16
506,"Irish ","Restaurants",16
507,"Italian ","Restaurants",16
508,"Jamaican","Restaurants",16
509,"Japanese ","Restaurants",16
510,"Korean ","Restaurants",16
511,"Kosher ","Restaurants",16
512,"Latin American ","Restaurants",16
513,"Lebanese","Restaurants",16
514,"Live Food","Restaurants",16
515,"Malaysian ","Restaurants",16
516,"Mediterranean ","Restaurants",16
517,"Mexican ","Restaurants",16
518,"Middle Eastern ","Restaurants",16
519,"Modern European ","Restaurants",16
520,"Mongolian ","Restaurants",16
521,"Moroccan ","Restaurants",16
522,"Nepalese ","Restaurants",16
523,"Organic","Restaurants",16
524,"Oyster Bars","Restaurants",16
525,"Packaged Meals","Restaurants",16
526,"Pakistani ","Restaurants",16
527,"Pancake House","Restaurants",16
528,"Persian ","Restaurants",16
529,"Peruvian ","Restaurants",16
530,"Pizza ","Restaurants",16
531,"Po Boys","Restaurants",16
532,"Polish ","Restaurants",16
533,"Portuguese ","Restaurants",16
534,"Raw Food","Restaurants",16
535,"Russian ","Restaurants",16
536,"Sandwiches ","Restaurants",16
537,"Scandinavian ","Restaurants",16
538,"Seafood ","Restaurants",16
539,"Singaporean ","Restaurants",16
540,"Small Plates","Restaurants",16
541,"Soul Food ","Restaurants",16
542,"Soup ","Restaurants",16
543,"Southern ","Restaurants",16
544,"Southwestern","Restaurants",16
545,"Spanish ","Restaurants",16
546,"Steakhouses ","Restaurants",16
547,"Surinamese","Restaurants",16
548,"Sushi Bars ","Restaurants",16
549,"Swiss","Restaurants",16
550,"Taiwanese ","Restaurants",16
551,"Tapas","Restaurants",16
552,"Tea Rooms ","Restaurants",16
553,"Tex-Mex ","Restaurants",16
554,"Thai ","Restaurants",16
555,"Turkish ","Restaurants",16
556,"Ukrainian ","Restaurants",16
557,"Vegan ","Restaurants",16
558,"Vegetarian ","Restaurants",16
559,"Vietnamese ","Restaurants",16
561,"Accessories ","Shopping",17
562,"Antiques ","Shopping",17
563,"Appliances ","Shopping",17
564,"Art","Shopping",17
565,"Arts & Crafts Supplies","Shopping",17
566,"Athletic Apparel","Shopping",17
567,"Auctions","Shopping",17
568,"Baby Furniture","Shopping",17
569,"Baby Gear","Shopping",17
570,"Bike Shops","Shopping",17
571,"Book Stores","Shopping",17
572,"Boutiques","Shopping",17
573,"Bridal ","Shopping",17
574,"Cards & Stationery ","Shopping",17
575,"Carpet & Flooring","Shopping",17
576,"Children's Clothing ","Shopping",17
577,"Collectibles","Shopping",17
578,"Comic Books ","Shopping",17
579,"Computers ","Shopping",17
580,"Costumes ","Shopping",17
581,"Dance Apparel","Shopping",17
582,"Department Stores ","Shopping",17
583,"Discount Stores ","Shopping",17
584,"Drugstores ","Shopping",17
585,"Electronics ","Shopping",17
586,"Eyewear & Opticians ","Shopping",17
587,"Fabric Stores ","Shopping",17
588,"Flea Markets","Shopping",17
589,"Formal Wear","Shopping",17
590,"Framing ","Shopping",17
591,"Furniture Stores ","Shopping",17
592,"Gift Shops","Shopping",17
593,"Hardware Stores ","Shopping",17
594,"Hobby Shops ","Shopping",17
595,"Home Décor","Shopping",17
596,"Home Improvement Stores","Shopping",17
597,"Hot Tub and Pool ","Shopping",17
598,"Industrial Equipment Supplier","Shopping",17
599,"Jewelry ","Shopping",17
600,"Junk & Scrap Dealers","Shopping",17
601,"Kitchen & Bath ","Shopping",17
602,"Leather Goods ","Shopping",17
603,"Lighting Fixtures","Shopping",17
604,"Lingerie ","Shopping",17
605,"Luggage ","Shopping",17
606,"Maternity Stores","Shopping",17
607,"Mattresses ","Shopping",17
608,"Men's Clothing ","Shopping",17
609,"Mobile Phones ","Shopping",17
610,"Music & DVDs","Shopping",17
611,"Musical Instruments","Shopping",17
612,"Newspapers & Magazines ","Shopping",17
613,"Nurseries & Garden Centers","Shopping",17
614,"Office Supplies & Equipment","Shopping",17
615,"Outlet Stores ","Shopping",17
616,"Party Supplies ","Shopping",17
617,"Pawn Shops ","Shopping",17
618,"Photography Stores & Services ","Shopping",17
619,"Religious Goods","Shopping",17
620,"Shades & Blinds ","Shopping",17
621,"Shoe Stores ","Shopping",17
622,"Shopping Centers ","Shopping",17
623,"Sporting Goods ","Shopping",17
624,"Swimwear ","Shopping",17
625,"Thrift Stores ","Shopping",17
626,"Tobacco Shops ","Shopping",17
627,"Toy Stores ","Shopping",17
628,"Trophies & Engraving","Shopping",17
629,"Uniforms","Shopping",17
630,"Used, Vintage & Consignment ","Shopping",17
631,"Vending Machines","Shopping",17
632,"Videos and Video Game Rental ","Shopping",17
633,"Watches ","Shopping",17
634,"Wholesale Stores ","Shopping",17
635,"Women's Clothing ","Shopping",17
637,"Airlines","Travel",18
638,"Bed & Breakfasts","Travel",18
639,"Bus Lines","Travel",18
640,"Car Rental","Travel",18
641,"Cruises","Travel",18
642,"Hostels","Travel",18
643,"Hotels","Travel",18
644,"Lodging","Travel",18
645,"Motels","Travel",18
646,"Resorts","Travel",18
647,"RV - Recreational Vehicles","Travel",18
648,"Taxis","Travel",18
649,"Timeshare Agencies","Travel",18
650,"Travel Agencies","Travel",18
651,"Vacation Home Rental","Travel",18
